site,shell_num,age,growth_period,growth_year_range,chondro_dist_addition,chondro_cumul_dist,shell_cumul_dist,Param,Value
N. Cape: Dennis,G88,2,1,1-2,6.96,6.96,80.354176,,
N. Cape: Dennis,G88,3,2,2-3,4.19,11.15,111.00235,,
N. Cape: Dennis,G88,4,3,3-4,2.73,13.88,128.326384,,
N. Cape: Dennis,G89,2,1,1-2,5.92,5.92,71.985504,,
N. Cape: Dennis,G89,3,2,2-3,3.15,9.07,96.402414,,
N. Cape: Dennis,G89,4,3,3-4,2.32,11.39,112.609006,,
N. Cape: Dennis,G89,5,4,4-5,1.47,12.86,122.097856,,
S. Cape: Eel Pond,G90,,,,,,,,
S. Cape: Eel Pond,G91,,,,,,,,
S. Cape: Eel Pond,G92,,,,,,,,
S. Cape: Eel Pond,G93,,,,,,,,
S. Cape: Chatham,G94,,,,,,,,
N. Cape: Barnstable,G95,,,,,,,,
N. Cape: Barnstable,G96,,,,,,,,
N. Cape: Dennis,G97,,,,,,,,
N. Cape: Barnstable,G98,,,,,,,,
N. Cape: Provincetown,G99,,,,,,,,
S. Cape: Eel Pond,G100,,,,,,,,
N. Cape: Dennis,G101,,,,,,,,
N. Cape: Dennis,G102,,,,,,,,
N. Cape: Dennis,G103,,,,,,,,
N. Cape: Barnstable,G104,,,,,,,,
N. Cape: Dennis,G105,,,,,,,,
N. Cape: Provincetown,G106,,,,,,,,
S. Cape: Chatham,G107,,,,,,,,
N. Cape: Dennis,G108,,,,,,,,
S. Cape: Eel Pond,G109,,,,,,,,
S. Cape: Eel Pond,G110,,,,,,,,
S. Cape: Eel Pond,G111,,,,,,,,
S. Cape: Eel Pond,G112,,,,,,,,
S. Cape: Eel Pond,G113,,,,,,,,
N. Cape: Dennis,G114,,,,,,,,
N. Cape: Barnstable,G115,,,,,,,,
S. Cape: Eel Pond,G116,,,,,,,,
S. Cape: Eel Pond,G117,,,,,,,,
S. Cape: Eel Pond,G118,,,,,,,,
S. Cape: Eel Pond,G119,,,,,,,,
S. Cape: Eel Pond,G120,,,,,,,,
N. Cape: Provincetown,A1,,,,,,,,
N. Cape: Provincetown,A2,,,,,,,,
N. Cape: Provincetown,A3,,,,,,,,
